,brand,model,model_year,milage,fuel_type,price
1,Hyundai,Palisade SEL,2021,34742,Gasoline,38005
2,Lexus,RX 350 RX,2022,22372,Gasoline,54598
4,Audi,Q3 45 S,2021,9835,Gasoline,34999
5,Acura,ILX 2.4L,2016,136397,Gasoline,14798
6,Audi,S3 2.0T Premium,2017,84000,Gasoline,31000
7,BMW,740 iL,2001,242000,Gasoline,7300
8,Lexus,RC 350 F,2021,23436,Gasoline,41927
10,Land,Rover Range Rover,2021,27608,Gasoline,73897
11,Aston,Martin DBS Superleggera,2019,22770,Gasoline,184606
12,Toyota,Supra 3.0 Premium,2021,12500,Gasoline,53500
13,Lincoln,Aviator Reserve AWD,2022,18196,Gasoline,62000
14,Jaguar,F-TYPE,2020,15903,Gasoline,47998
15,Land,Rover LR4 HSE,2013,79800,Gasoline,29990
16,Mercedes-Benz,Metris Base,2021,1685,Gasoline,250000
17,Dodge,Challenger SXT,2013,61074,Gasoline,16800
18,Nissan,350Z Enthusiast,2003,74000,Gasoline,11000
19,Jaguar,F-TYPE R,2018,35250,Gasoline,68750
20,Genesis,GV70 3.5T Sport,2023,5400,Gasoline,60000
22,BMW,440 Gran Coupe,2020,25990,Gasoline,38598
23,Ford,F-150 XLT,2023,2823,Gasoline,58504
24,Chevrolet,Suburban RST,2021,52000,Gasoline,61000
25,Hyundai,Elantra N Base,2022,11650,Gasoline,32300
26,Nissan,Sentra SR,2016,96541,Gasoline,13998
27,Mercedes-Benz,AMG CLA 45,2021,17500,Gasoline,59995
28,BMW,650 Gran Coupe,2015,69000,Gasoline,25700
30,Mercedes-Benz,AMG C 43,2018,28800,Gasoline,48000
31,Dodge,Ram 1500 Laramie,2006,300183,Gasoline,10900
33,Kia,Sorento SX,2011,171000,Gasoline,5999
34,Lexus,LX 570 Base,2016,118700,Gasoline,46900
35,Jeep,New Compass Trailhawk,2017,119000,Gasoline,15900
36,BMW,340 i,2018,44261,Gasoline,33598
37,Audi,A4 2.0T Premium,2012,125575,Gasoline,8999
38,Hyundai,Tucson SE,2007,16200,Gasoline,8200
39,BMW,Z4 sDrive28i,2014,70000,Gasoline,20000
41,Honda,Passport Elite,2023,2978,Gasoline,45498
42,Dodge,Sprinter 2500,2007,189719,Diesel,14000
43,BMW,M850 i xDrive,2019,9949,Gasoline,75798
45,Audi,A7 Premium,2012,54000,Gasoline,36880
46,Chevrolet,Silverado 1500 Custom,2021,51351,Gasoline,43147
47,MINI,Convertible John Cooper,2017,24280,Gasoline,29000
48,Toyota,Avalon Touring,2016,89148,Gasoline,17500
49,Porsche,Cayenne Platinum Edition,2017,73043,Gasoline,30990
50,Mercedes-Benz,AMG C 63,2017,60000,Gasoline,52500
51,Honda,CR-V EX-L,2016,73549,Gasoline,20848
52,Hummer,H2 Base,2005,110900,Gasoline,19500
53,Porsche,911 Carrera S,2013,39000,Gasoline,73000
54,Mercedes-Benz,CLA-Class CLA 250,2016,120000,Gasoline,19800
55,Chrysler,300 Touring,2009,134602,Gasoline,7500
56,Nissan,Rogue SV,2023,1094,Gasoline,30999
57,Audi,A3 2.0T,2010,83500,Gasoline,6500
58,Ford,Mustang GT Premium,2014,37060,Gasoline,28500
59,Acura,RL Technology,2010,97700,Gasoline,10995
61,Audi,R8 5.2 V10,2018,8940,Gasoline,144900
62,Mercedes-Benz,GLK-Class GLK 350,2014,186000,Gasoline,10000
63,Toyota,C-HR LE,2021,13180,Gasoline,23998
64,Lexus,IS 350 Base,2014,104000,Gasoline,21000
66,BMW,M4 CS,2019,19069,Gasoline,69998
67,Cadillac,CT5 Premium Luxury,2023,6090,Gasoline,46900
69,Audi,A5 2.0T Premium,2019,47523,Gasoline,31000
70,Chrysler,300C SRT8,2006,43000,Gasoline,19995
71,Bentley,Continental GT W12,2017,14684,Gasoline,130000
72,BMW,M4 Base,2019,57800,Gasoline,55999
73,Toyota,GR Corolla Circuit,2023,952,Gasoline,49950
74,Audi,RS 5 2.9T,2019,21240,Gasoline,59950
75,Porsche,Cayenne Base,2019,59338,Gasoline,42499
76,Lamborghini,Huracan Tecnica Coupe,2023,255,Gasoline,359991
77,Maserati,Quattroporte S,2019,23230,Gasoline,44999
78,Jaguar,XF 35t R-Sport,2017,48000,Gasoline,30000
79,Lexus,ES 330 Base,2005,41059,Gasoline,11100
80,Land,Rover Discovery Sport,2020,21240,Gasoline,37998
81,Porsche,Cayman GTS,2015,11500,Gasoline,72000
82,Genesis,G90 3.3T Premium,2021,9950,Gasoline,53950
83,Volkswagen,Golf R 20th,2023,633,Gasoline,47999
85,Audi,RS 7 4.0T,2014,59715,Gasoline,45000
86,BMW,740 Li,2012,85252,Gasoline,18500
88,BMW,M6 Base,2016,25500,Gasoline,55000
89,Subaru,Forester 2.5 X,2004,210703,Gasoline,2300
90,Hyundai,Elantra N Base,2023,3800,Gasoline,34000
93,Aston,Martin DBS Superleggera,2021,2165,Gasoline,279950
94,Mercedes-Benz,SLC 300 Base,2018,33000,Gasoline,29900
95,BMW,435 Gran Coupe,2016,76009,Gasoline,24950
96,Jeep,Grand Cherokee Summit,2020,31349,Gasoline,39366
97,Lexus,RC 350 Base,2015,48000,Gasoline,32900
98,BMW,525 i,2005,91420,Gasoline,8900
99,Toyota,Corolla LE,2003,124756,Gasoline,4995
100,Cadillac,CT5-V Blackwing,2023,2415,Gasoline,104900
101,GMC,Acadia SLT-1,2012,116226,Gasoline,7900
102,Lexus,LC 500 Base,2020,37869,Gasoline,75950
105,Cadillac,CT5-V V-Series,2022,4451,Gasoline,55655
106,BMW,540 i xDrive,2020,27158,Gasoline,39998
107,Chevrolet,Express 1500 Work,2014,139804,Gasoline,14500
108,Jeep,Gladiator Rubicon,2022,27300,Gasoline,47500
109,BMW,Z4 sDrive28i,2014,36812,Gasoline,27000
110,Land,Rover LR4 HSE,2016,144000,Gasoline,18000
111,Cadillac,XT4 Sport,2019,44500,Gasoline,28900
112,BMW,750 750i xDrive,2021,10917,Gasoline,73998
113,Bentley,Arnage R,2005,8332,Gasoline,47350
114,Lincoln,Aviator Reserve AWD,2020,51247,Gasoline,47698
115,Mercedes-Benz,AMG GL AMG,2016,69000,Gasoline,36500
116,RAM,ProMaster 3500 High,2021,147834,Gasoline,32662
118,Audi,A5 2.0T Premium,2011,92203,Gasoline,9995
119,Nissan,GT-R Premium,2010,15600,Gasoline,69500
120,Land,Rover Range Rover,2018,104700,Gasoline,30775
121,Toyota,Corolla LE,2010,72348,Gasoline,9995
123,Mercedes-Benz,C-Class C300 4MATIC,2022,13177,Gasoline,44798
128,Audi,Q7 3.0T Premium,2015,98527,Gasoline,9995
131,Audi,TTS 2.0T Premium,2012,72922,Gasoline,25999
132,BMW,650 Gran Coupe,2015,41000,Gasoline,30000
133,Subaru,Forester Premium,2021,42125,Gasoline,27899
134,Mercedes-Benz,AMG C AMG,2016,62000,Gasoline,40000
135,Land,Rover LR3 HSE,2006,153843,Gasoline,9950
136,BMW,X7 xDrive40i,2019,35248,Gasoline,53998
137,Ford,Transit Connect XLT,2015,194454,Gasoline,9888
138,Lexus,LX 570 Three-Row,2021,21000,Gasoline,89999
139,Porsche,911 Carrera S,2013,18494,Gasoline,86900
140,Dodge,Ram 2500 Laramie,2006,218000,Gasoline,12990
141,Nissan,Armada SL,2021,67800,Gasoline,36500
142,Porsche,Cayman Base,2014,79000,Gasoline,42999
144,Chevrolet,Monte Carlo SS,2006,66840,Gasoline,12000
145,BMW,M5 Base,2013,86000,Gasoline,32000
146,Hyundai,Kona N Base,2023,654,Gasoline,34599
147,Chevrolet,Monte Carlo SS,2005,75000,Gasoline,12500
148,Land,Rover Range Rover,2015,84000,Gasoline,22800
149,Audi,S7 4.0T Premium,2017,52500,Gasoline,39999
150,GMC,Acadia SLT-1,2011,120000,Gasoline,7500
151,Alfa,Romeo Stelvio Ti,2020,18665,Gasoline,35645
152,Ferrari,FF Base,2016,19987,Gasoline,149900
153,Kia,K900 5.0L,2017,36486,Gasoline,23950
156,Toyota,4Runner SR5,2022,28377,Gasoline,36999
